Title,Date
"Rick and Morty: Temporada 4: Fãs do Rick","29/03/2022"
"Rick and Morty: Temporada 4: Rattlestar Ricklactica","29/03/2022"
"Rick and Morty: Temporada 4: Fora da lei e com desordem: unidade de vítimas do Morty","29/03/2022"
"Rick and Morty: Temporada 4: Um estranho no ninho de Morty","29/03/2022"
"Rick and Morty: Temporada 4: O velho e a privada","29/03/2022"
"Rick and Morty: Temporada 4: No limite da Morty: Rick, morra, Rickpita","29/03/2022"
"Rick and Morty: Temporada 3: O Mortyencontro Rickchuriano","29/03/2022"
"Rick and Morty: Temporada 3: O ABC da Beth","28/03/2022"
"Rick and Morty: Temporada 3: Pulverizadores de Mente do Morty","28/03/2022"
"Rick and Morty: Temporada 3: A Ricktlântida confusão","26/03/2022"
"Rick and Morty: Temporada 3: Descanso e Rickrelaxamento","26/03/2022"
"Rick and Morty: Temporada 3: A conspiração de Whirly Dirly","26/03/2022"
"Rick and Morty: Temporada 3: Os Justiceiros 3: A volta do Exterminador de Mundos","26/03/2022"
"Rick and Morty: Temporada 3: Rick Pepino","26/03/2022"
"Rick and Morty: Temporada 3: Rickcurtindo a Pedra","26/03/2022"
"Rick and Morty: Temporada 3: A Rickapunhalada Ricksalvação","26/03/2022"
"Rick and Morty: Temporada 2: Casamento intergaláctico","26/03/2022"
"Rick and Morty: Temporada 2: Olha quem está expurgando","26/03/2022"
"Rick and Morty: Temporada 2: TV interdimensional","26/03/2022"
"Rick and Morty: Temporada 2: Confusão em Little Sanchez","24/03/2022"
"Rick and Morty: Temporada 2: Bateria esgotada","24/03/2022"
"Rick and Morty: Temporada 2: Planeta música","24/03/2022"
"Rick and Morty: Temporada 2: Parasitas invasores alienígenas","23/03/2022"
"Rick and Morty: Temporada 2: Assimilação autoerótica","23/03/2022"
"Rick and Morty: Temporada 2: Expresso da meia-noite","23/03/2022"
"Rick and Morty: Temporada 2: Fratura temporal","21/03/2022"
"Rick and Morty: Negócio arriscado","20/03/2022"
"Rick and Morty: Contatos imediatos","20/03/2022"
"Rick and Morty: Uma loja do diabo","20/03/2022"
"Rick and Morty: Realidade alternativa","20/03/2022"
"Rick and Morty: O pequeno Gazorpazorp","20/03/2022"
"Rick and Morty: A Revolta dos Meeseeks","20/03/2022"
"Rick and Morty: Realidade Virtual","20/03/2022"
"John Wick 2: Um Novo Dia Para Matar","20/03/2022"
"Rick and Morty: A poção do Rick","16/03/2022"
"Rick and Morty: Parque das Bactérias","15/03/2022"
"Rick and Morty: Cãortador de grama","15/03/2022"
"Rick and Morty: Piloto","15/03/2022"
"(Des)encanto: Parte 4: O amor é um inferno","15/03/2022"
"Homem-Aranha no Aranhaverso","10/03/2022"
"ONE PIECE: Alabasta: Episódio 114","28/02/2022"
"(Des)encanto: Parte 1: Uma princesa, um elfo e um diabo entram num bar","28/02/2022"
"Cuphead - A Série: Temporada 1: Mamadeira","24/02/2022"
"Cuphead - A Série: Temporada 1: Carna-mal","24/02/2022"
"Megamente","24/02/2022"
"Molang: Temporada 1: The Party","24/02/2022"
"Komi Can't Communicate: É só medo e mais.","24/02/2022"
"Komi Can't Communicate: É só uma amizade de infância e mais.","24/02/2022"
"Komi Can't Communicate: É só que eu queria poder falar.","24/02/2022"
"ONE PIECE: Alabasta: Episódio 113","23/02/2022"
"ONE PIECE: Alabasta: Episódio 112","22/02/2022"
"ONE PIECE: Alabasta: Episódio 111","22/02/2022"
"ONE PIECE: Alabasta: Episódio 110","21/02/2022"
"ONE PIECE: Alabasta: Episódio 109","21/02/2022"
"ONE PIECE: Alabasta: Episódio 108","21/02/2022"
"ONE PIECE: Alabasta: Episódio 107","21/02/2022"
"ONE PIECE: Alabasta: Episódio 106","20/02/2022"
"ONE PIECE: Alabasta: Episódio 105","20/02/2022"
"ONE PIECE: Alabasta: Episódio 104","18/02/2022"
"ONE PIECE: Alabasta: Episódio 103","17/02/2022"
"ONE PIECE: Alabasta: Episódio 102","17/02/2022"
"ONE PIECE: Alabasta: Episódio 101","17/02/2022"
"ONE PIECE: Alabasta: Episódio 100","17/02/2022"
"ONE PIECE: Alabasta: Episódio 99","17/02/2022"
"ONE PIECE: Alabasta: Episódio 98","17/02/2022"
"ONE PIECE: Alabasta: Episódio 97","16/02/2022"
"ONE PIECE: Alabasta: Episódio 96","16/02/2022"
"ONE PIECE: Alabasta: Episódio 95","16/02/2022"
"ONE PIECE: Alabasta: Episódio 94","16/02/2022"
"ONE PIECE: Alabasta: Episódio 93","16/02/2022"
"ONE PIECE: Enter Chopper at the Winter Island: Episódio 92","16/02/2022"
"ONE PIECE: Enter Chopper at the Winter Island: Episódio 91","16/02/2022"
"ONE PIECE: Enter Chopper at the Winter Island: Episódio 90","16/02/2022"
"ONE PIECE: Enter Chopper at the Winter Island: Episódio 89","16/02/2022"
"ONE PIECE: Enter Chopper at the Winter Island: Episódio 88","16/02/2022"
"ONE PIECE: Enter Chopper at the Winter Island: Episódio 87","15/02/2022"
"ONE PIECE: Enter Chopper at the Winter Island: Episódio 86","15/02/2022"
"ONE PIECE: Enter Chopper at the Winter Island: Episódio 85","15/02/2022"
"ONE PIECE: Enter Chopper at the Winter Island: Episódio 84","15/02/2022"
"ONE PIECE: Enter Chopper at the Winter Island: Episódio 83","14/02/2022"
"ONE PIECE: Enter Chopper at the Winter Island: Episódio 78","14/02/2022"
"ONE PIECE: Enter Chopper at the Winter Island: Episódio 82","14/02/2022"
"ONE PIECE: Enter Chopper at the Winter Island: Episódio 81","14/02/2022"
"ONE PIECE: Enter Chopper at the Winter Island: Episódio 80","14/02/2022"
"ONE PIECE: Enter Chopper at the Winter Island: Episódio 79","14/02/2022"
"ONE PIECE: Entering into the Grand Line: Episódio 77","13/02/2022"
"ONE PIECE: Entering into the Grand Line: Episódio 76","13/02/2022"
"ONE PIECE: Entering into the Grand Line: Episódio 75","13/02/2022"
"ONE PIECE: Entering into the Grand Line: Episódio 74","13/02/2022"
"ONE PIECE: Entering into the Grand Line: Episódio 73","13/02/2022"
"ONE PIECE: Entering into the Grand Line: Episódio 72","13/02/2022"
"ONE PIECE: Entering into the Grand Line: Episódio 71","13/02/2022"
"ONE PIECE: Entering into the Grand Line: Episódio 70","12/02/2022"
"ONE PIECE: Entering into the Grand Line: Episódio 69","12/02/2022"
"ONE PIECE: Entering into the Grand Line: Episódio 68","12/02/2022"
"ONE PIECE: Entering into the Grand Line: Episódio 67","12/02/2022"
"ONE PIECE: Entering into the Grand Line: Episódio 66","11/02/2022"
"ONE PIECE: Entering into the Grand Line: Episódio 65","11/02/2022"
"ONE PIECE: Entering into the Grand Line: Episódio 64","11/02/2022"
"ONE PIECE: Entering into the Grand Line: Episódio 63","11/02/2022"
"ONE PIECE: Entering into the Grand Line: Episódio 62","10/02/2022"
"ONE PIECE: East Blue: Episódio 61","10/02/2022"
"ONE PIECE: East Blue: Episódio 60","10/02/2022"
"ONE PIECE: East Blue: Episódio 59","10/02/2022"
"ONE PIECE: East Blue: Episódio 58","10/02/2022"
"ONE PIECE: East Blue: Episódio 57","10/02/2022"
"ONE PIECE: East Blue: Episódio 56","09/02/2022"
"ONE PIECE: East Blue: Episódio 55","09/02/2022"
"ONE PIECE: East Blue: Episódio 54","09/02/2022"
"ONE PIECE: East Blue: Episódio 53","09/02/2022"
"ONE PIECE: East Blue: Episódio 52","09/02/2022"
"ONE PIECE: East Blue: Episódio 51","09/02/2022"
"ONE PIECE: East Blue: Episódio 50","09/02/2022"
"ONE PIECE: East Blue: Episódio 49","09/02/2022"
"ONE PIECE: East Blue: Episódio 48","09/02/2022"
"ONE PIECE: East Blue: Episódio 47","08/02/2022"
"ONE PIECE: East Blue: Episódio 46","08/02/2022"
"ONE PIECE: East Blue: Episódio 45","08/02/2022"
"ONE PIECE: East Blue: Episódio 44","08/02/2022"
"ONE PIECE: East Blue: Episódio 43","08/02/2022"
"ONE PIECE: East Blue: Episódio 42","08/02/2022"
"ONE PIECE: East Blue: Episódio 41","08/02/2022"
"ONE PIECE: East Blue: Episódio 40","07/02/2022"
"ONE PIECE: East Blue: Episódio 39","06/02/2022"
"ONE PIECE: East Blue: Episódio 38","06/02/2022"
"ONE PIECE: East Blue: Episódio 37","06/02/2022"
"ONE PIECE: East Blue: Episódio 36","06/02/2022"
"ONE PIECE: East Blue: Episódio 35","06/02/2022"
"ONE PIECE: East Blue: Episódio 34","06/02/2022"
"ONE PIECE: East Blue: Episódio 33","06/02/2022"
"ONE PIECE: East Blue: Episódio 32","02/02/2022"
"ONE PIECE: East Blue: Episódio 31","27/01/2022"
"ONE PIECE: East Blue: Episódio 30","26/01/2022"
"ONE PIECE: East Blue: Episódio 29","25/01/2022"
"ONE PIECE: East Blue: Episódio 28","25/01/2022"
"ONE PIECE: East Blue: Episódio 27","25/01/2022"
"ONE PIECE: East Blue: Episódio 26","25/01/2022"
"ONE PIECE: East Blue: Episódio 25","25/01/2022"
"ONE PIECE: East Blue: Episódio 24","25/01/2022"
"ONE PIECE: East Blue: Episódio 23","25/01/2022"
"ONE PIECE: East Blue: Episódio 22","25/01/2022"
"ONE PIECE: East Blue: Episódio 21","25/01/2022"
"ONE PIECE: East Blue: Episódio 20","25/01/2022"
"ONE PIECE: East Blue: Episódio 19","25/01/2022"
"ONE PIECE: East Blue: Episódio 18","24/01/2022"
"ONE PIECE: East Blue: Episódio 17","24/01/2022"
"ONE PIECE: East Blue: Episódio 16","24/01/2022"
"ONE PIECE: East Blue: Episódio 15","21/01/2022"
"ONE PIECE: East Blue: Episódio 14","21/01/2022"
"ONE PIECE: East Blue: Episódio 13","21/01/2022"
"ONE PIECE: East Blue: Episódio 12","21/01/2022"
"One-Punch Man: Temporada 2: Limpando a bagunça do discípulo","13/01/2022"
"One-Punch Man: Temporada 2: As variedades do orgulho","13/01/2022"
"One-Punch Man: Temporada 2: Justiça sob cerco","13/01/2022"
"One-Punch Man: Temporada 2: O maior dos dilemas","13/01/2022"
"One-Punch Man: Temporada 2: A resistência dos fortes","13/01/2022"
"One-Punch Man: Temporada 2: Herói Classe S","13/01/2022"
"One-Punch Man: Temporada 2: A revolta dos monstros","13/01/2022"
"One-Punch Man: Temporada 2: O torneio de artes marciais","13/01/2022"
"One-Punch Man: Temporada 2: Metal Bat","07/01/2022"
"One-Punch Man: Temporada 2: A caça começa","07/01/2022"
"One-Punch Man: Temporada 2: Monstro humano","07/01/2022"
"One-Punch Man: Temporada 2: Retorno do herói","07/01/2022"
"One-Punch Man: Temporada 1: O herói mais forte","07/01/2022"
"O Rei","02/01/2022"
"Não Olhe para Cima","02/01/2022"
"One-Punch Man: Temporada 1: Conquistador do universo","22/12/2021"
"One-Punch Man: Temporada 1: Perigo incomparável","22/12/2021"
"One-Punch Man: Temporada 1: Ciclista da Justiça","22/12/2021"
"One-Punch Man: Temporada 1: Rei do Mar Profundo","17/12/2021"
"One-Punch Man: Temporada 1: O aprendiz supremo","17/12/2021"
"One-Punch Man: Temporada 1: A cidade fantasma","17/12/2021"
"One-Punch Man: Temporada 1: O mentor supremo","17/12/2021"
"One-Punch Man: Temporada 1: O ninja moderno","17/12/2021"
"One-Punch Man: Temporada 1: O cientista obstinado","17/12/2021"
"One-Punch Man: Temporada 1: O ciborgue solitário","17/12/2021"
"One-Punch Man: Temporada 1: O homem mais poderoso","17/12/2021"
"ONE PIECE: East Blue: Episódio 11","17/12/2021"
"ONE PIECE: East Blue: Episódio 10","17/12/2021"
"ONE PIECE: East Blue: Episódio 9","17/12/2021"
"ONE PIECE: East Blue: Episódio 8","10/12/2021"
"ONE PIECE: East Blue: Episódio 7","08/12/2021"
"ONE PIECE: East Blue: Episódio 6","08/12/2021"
"ONE PIECE: East Blue: Episódio 5","07/12/2021"
"ONE PIECE: East Blue: Episódio 4","07/12/2021"
"ONE PIECE: East Blue: Episódio 3","07/12/2021"
"ONE PIECE: East Blue: Episódio 2","07/12/2021"
"ONE PIECE: East Blue: Episódio 1","07/12/2021"
"Adoráveis mulheres","04/12/2021"
"A Bruxa","04/12/2021"
"O Regresso","04/12/2021"
"Estômago","04/12/2021"
"Cowboy Bebop: Rainha do heavy metal","02/12/2021"
"Cowboy Bebop: Sympathy for the devil","01/12/2021"
"Cowboy Bebop: Balada de anjos caídos","01/12/2021"
"Cowboy Bebop: Escapatória","01/12/2021"
"Cowboy Bebop: Honky tonk women","01/12/2021"
"Cowboy Bebop: Stray dog strut","01/12/2021"
"Cowboy Bebop: Asteroid blues","01/12/2021"
"Entrelinhas Pontilhadas: Episódio 6","30/11/2021"
"Entrelinhas Pontilhadas: Episódio 5","30/11/2021"
"Entrelinhas Pontilhadas: Episódio 4","30/11/2021"
"Entrelinhas Pontilhadas: Episódio 3","30/11/2021"
"Entrelinhas Pontilhadas: Episódio 2","30/11/2021"
"Entrelinhas Pontilhadas: Episódio 1","30/11/2021"
"O Segredo dos Animais","26/11/2021"
"O Espetacular Homem-Aranha 2 - A Ameaça de Electro","21/11/2021"
"Arcane: O monstro que você criou","21/11/2021"
"Arcane: Água e óleo","21/11/2021"
"Arcane: O garoto salvador","21/11/2021"
"Scarface","20/11/2021"
"White Boy Rick","20/11/2021"
"Arcane: A violência é essencial para a mudança","11/11/2021"
"Arcane: Alguns mistérios não devem ser desvendados","10/11/2021"
"Arcane: Entrando na brincadeira","10/11/2021"
"Em Ritmo de Fuga","09/11/2021"
"Você: Temporada 3: O que é o amor?","20/10/2021"
"Você: Temporada 3: Bandeira vermelha","19/10/2021"
"Você: Temporada 3: Tentativa e erro","19/10/2021"
"Você: Temporada 3: Todos nós aqui somos loucos","19/10/2021"
"Você: Temporada 3: Maternidade","19/10/2021"
"Você: Temporada 3: Na floresta","19/10/2021"
"Você: Temporada 3: Unidos em Madre Linda","19/10/2021"
"Você: Temporada 3: Síndrome da mulher branca desaparecida","18/10/2021"
"Você: Temporada 3: Casei com uma assassina","16/10/2021"
"Você: Temporada 3: E eles viveram felizes para sempre","16/10/2021"
"Você: Temporada 1: O último cara legal em Nova York","16/10/2021"
"Sex Education: Temporada 3: Episódio 2","11/10/2021"
"Sex Education: Temporada 3: Episódio 1","11/10/2021"
"Sex Education: Temporada 1: Episódio 1","11/10/2021"
"Round 6: Temporada 1: Um dia de sorte","10/10/2021"
"Round 6: Temporada 1: O líder","10/10/2021"
"Round 6: Temporada 1: VIPs","10/10/2021"
"Round 6: Temporada 1: Gganbu","10/10/2021"
"Round 6: Temporada 1: Um mundo justo","10/10/2021"
"Round 6: Temporada 1: Fiquem juntos","10/10/2021"
"Round 6: Temporada 1: O homem do guarda-chuva","10/10/2021"
"American Pie 3 - O casamento","03/10/2021"
"American Pie - A primeira vez é inesquecível","03/10/2021"
"O Que Ficou Para Trás","03/10/2021"
" ","02/10/2021"
"Drácula de Bram Stoker","02/10/2021"
"Alice in Borderland: Temporada 1: Episódio 2","02/10/2021"
"Alice in Borderland: Temporada 1: Episódio 1","02/10/2021"
"Round 6: Temporada 1: Inferno","01/10/2021"
"Round 6: Temporada 1: Batatinha frita 1, 2, 3","30/09/2021"
"Final Space: Temporada 2: Regata de Toro","23/09/2021"
"Final Space: Temporada 3: Covil do diabo","23/09/2021"
"Final Space: Temporada 3: A partida","23/09/2021"
"Final Space: Temporada 3: Os mortos falam","23/09/2021"
"Final Space: Temporada 3: Catástrofe iminente","23/09/2021"
"Final Space: Temporada 3: Ponte hipertransdimensional","23/09/2021"
"Final Space: Temporada 3: Perdão","22/09/2021"
"Final Space: Temporada 3: Câmara da Dúvida","22/09/2021"
"Final Space: Temporada 3: Uma mudança virá","22/09/2021"
"Final Space: Temporada 3: Momentos perdidos","21/09/2021"
"Final Space: Temporada 3: Uma de nós","21/09/2021"
"Final Space: Temporada 3: O ventrexiano","21/09/2021"
"Final Space: Temporada 3: A luz escondida","21/09/2021"
"Final Space: Temporada 3: Para o fogo","21/09/2021"
"Final Space: Temporada 1: Capítulo 1","21/09/2021"
"Little Witch Academia: Temporada 1: A Bruxa do Luar","10/08/2021"
"Little Witch Academia: Temporada 1: Noite de lua azul","10/08/2021"
"Little Witch Academia: Temporada 1: A abelha-cupido","10/08/2021"
"Little Witch Academia: Temporada 1: O ressuscitado","10/08/2021"
"Little Witch Academia: Temporada 1: A busca pela Sucy original","10/08/2021"
"Little Witch Academia: Temporada 1: Mandando bem mal","10/08/2021"
"Little Witch Academia: Temporada 1: A Fonte de Polaris","10/08/2021"
"Little Witch Academia: Temporada 1: A ira dos dragões","10/08/2021"
"Little Witch Academia: Temporada 1: A Noite Cai","10/08/2021"
"Little Witch Academia: Temporada 1: Nada vai me deter","10/08/2021"
"Little Witch Academia: Temporada 1: Papilliodia","10/08/2021"
"Little Witch Academia: Temporada 1: Começando do zero","10/08/2021"
"DEATH NOTE: Death Note: Rebirth","10/08/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Nova missão","10/08/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Kanao Tsuyuri, a Tsuguko","10/08/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Treino de reabilitação","10/08/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Reunião dos pilares","10/08/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Mestre da mansão","10/08/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Contra as regras da corporação","10/08/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Família de faz de conta","10/08/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Hinokami","10/08/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Um laço falso","09/08/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Seja mestre de uma única coisa","09/08/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Deixando alguém ir primeiro","09/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: Desde que você esteja aqui","07/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: A volta do herói","07/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: A volta dos pecados","07/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: Um certo calor","07/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: Tenha esperança","07/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: Meliodas contra os dez mandamentos","07/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: Por quem aquela luz brilha?","06/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: Figuras lendárias","06/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: O labirinto da morte","06/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: Uma confissão tenebrosa","06/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: O mestre do Sol","06/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: Adeus, amado ladrão","06/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: Onde o amor é encontrado","06/08/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Monte Natagumo","06/08/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: A casa do brasão da Família Wisteria","06/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: Pai e filho","06/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: O que nos faltava","06/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: Promessa a uma pessoa amada","06/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: A terra sagrada dos druidas","06/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: Para onde as lembranças levam","06/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: O grande mestre expia seus pecados","06/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: Violência devastadora","06/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: Os dez mandamentos à solta","06/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: O tesouro sagrado Lostvayne","06/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: Existência e prova","05/08/2021"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: O renascer do clã dos demônios","05/08/2021"
"The Seven Deadly Sins: Sinais da Guerra Santa: A forma do amor","05/08/2021"
"The Seven Deadly Sins: Sinais da Guerra Santa: Em busca do primeiro amor","05/08/2021"
"The Seven Deadly Sins: Sinais da Guerra Santa: Nosso festival de luta","05/08/2021"
"The Seven Deadly Sins: Sinais da Guerra Santa: O início de um sonho sombrio","05/08/2021"
"The Seven Deadly Sins: Heróis","05/08/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Algo mais importante que a vida","05/08/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: O javali mostra suas presas, Zenitsu dorme","05/08/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Mansão Tsuzumi","05/08/2021"
"The Seven Deadly Sins: O advento do desespero","04/08/2021"
"The Seven Deadly Sins: O que posso fazer por você","04/08/2021"
"The Seven Deadly Sins: O feitiço da coragem","02/08/2021"
"The Seven Deadly Sins: O Rei das Fadas","02/08/2021"
"The Seven Deadly Sins: Mesmo que me custe a vida","02/08/2021"
"The Seven Deadly Sins: A primeira vítima","02/08/2021"
"The Seven Deadly Sins: Lendas contadas","02/08/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Juntos para sempre","02/08/2021"
"The Seven Deadly Sins: Cavaleiro profano","02/08/2021"
"The Seven Deadly Sins: O leitor de livros","02/08/2021"
"The Seven Deadly Sins: Discípulo da destruição","02/08/2021"
"The Seven Deadly Sins: O terrível Canon","02/08/2021"
"The Seven Deadly Sins: Sentimentos antigos","02/08/2021"
"The Seven Deadly Sins: O festival de luta de Byzel","01/08/2021"
"The Seven Deadly Sins: Pulsação das trevas","01/08/2021"
"The Seven Deadly Sins: A temível cavaleira sagrada","01/08/2021"
"The Seven Deadly Sins: Uma reunião emocionante","01/08/2021"
"The Seven Deadly Sins: O poema do início","01/08/2021"
"The Seven Deadly Sins: Mesmo que você morra","01/08/2021"
"The Seven Deadly Sins: O sonho de uma garotinha","01/08/2021"
"The Seven Deadly Sins: O pecado da Floresta Adormecida","01/08/2021"
"The Seven Deadly Sins: A espada do cavaleiro sagrado","31/07/2021"
"The Seven Deadly Sins: Os Sete Pecados Capitais","31/07/2021"
"Kakegurui: Uma garota chamada Yumeko Jabami","31/07/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: O demônio da Temari e o demônio da flecha","31/07/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: O aroma do sangue encantado","31/07/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Muzan Kibutsuji","31/07/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: O espadachim que acompanhou um demônio","31/07/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Meu próprio aço","31/07/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Seleção final","31/07/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Sabito e Makomo","31/07/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Sakonji Urokodaki, o treinador","31/07/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Crueldade","31/07/2021"
"The Promised Neverland: Episódio 1 – 121045","31/07/2021"
"O cavaleiro das trevas","20/07/2021"
"Big Mouth: Temporada 4: O que você vai fazer?","08/07/2021"
"Big Mouth: Temporada 4: Casa mal-assombrada","08/07/2021"
"Big Mouth: Temporada 4: O funeral","08/07/2021"
"Big Mouth: Temporada 4: Quatro histórias, várias mãos","08/07/2021"
"Big Mouth: Temporada 4: Um novo Nick","07/07/2021"
"Big Mouth: Temporada 4: Onze de setembro","07/07/2021"
"Big Mouth: Temporada 4: Garotas da lanchonete","07/07/2021"
"Big Mouth: Temporada 4: Tudo culpa do cocô","07/07/2021"
"Big Mouth: Temporada 4: Menstruação interminável","07/07/2021"
"Big Mouth: Temporada 4: Meu novo eu","07/07/2021"
"Love, Death & Robots: Volume 2: O gigante afogado","07/07/2021"
"Love, Death & Robots: Volume 2: Gaiola de sobrevivência","07/07/2021"
"Love, Death & Robots: Volume 2: Pela casa","07/07/2021"
"Love, Death & Robots: Volume 2: A grama alta","07/07/2021"
"Love, Death & Robots: Volume 2: Snow no deserto","07/07/2021"
"Love, Death & Robots: Volume 2: Esquadrão de extermínio","06/07/2021"
"Love, Death & Robots: Volume 2: Gelo","06/07/2021"
"Love, Death & Robots: Volume 2: Atendimento automático ao cliente","06/07/2021"
"Sex/Life: Império de memórias","01/07/2021"
"Naruto Shippuden: Temporada 5: Quebrando o estilo cristal","01/07/2021"
"Naruto Shippuden: Temporada 5: A barreira de selamento de quatro pontas","01/07/2021"
"Naruto Shippuden: Temporada 5: Reagrupando!","01/07/2021"
"Naruto Shippuden: Temporada 5: O sentimento de cada um","01/07/2021"
"Sem Maturidade Para Isso: Temporada 2: Os homens são demais! / Cavalo secreto","01/07/2021"
"Sem Maturidade Para Isso: Temporada 2: Aonde você foi, Bridgette? / O despertar erótico de A.P. LaPearle","30/06/2021"
"Sem Maturidade Para Isso: Temporada 2: Bebida do tempo / O melhor professor do mundo","30/06/2021"
"Naruto Shippuden: Temporada 5: Dentro do nevoeiro","30/06/2021"
"Naruto Shippuden: Temporada 5: A besta de cauda barulhenta","30/06/2021"
"Naruto Shippuden: Temporada 5: O alvo é revelado","30/06/2021"
"Naruto Shippuden: Temporada 5: O labirinto dos reflexos distorcidos","30/06/2021"
"Naruto Shippuden: Temporada 5: O inimigo invisível","30/06/2021"
"Naruto Shippuden: Temporada 5: Os dois amuletos","30/06/2021"
"Sem Maturidade Para Isso: Temporada 2: Faz tudo / Supersságio","30/06/2021"
"Sem Maturidade Para Isso: Temporada 2: O sofá assombrado / Treino para ser corajoso","30/06/2021"
"Sem Maturidade Para Isso: Temporada 2: Problema de junta / Matriz cibernética","11/06/2021"
"Sem Maturidade Para Isso: Temporada 2: Cara-de-molho / Hóspede do inferno","11/06/2021"
"Sem Maturidade Para Isso: Temporada 2: Josh fica marombado / Conheça os frackers","11/06/2021"
"Naruto Shippuden: Temporada 5: Uma noite chuvosa","11/05/2021"
"Naruto Shippuden: Temporada 5: Conectando corações","11/05/2021"
"Naruto Shippuden: Temporada 5: Encontro","11/05/2021"
"Naruto Shippuden: Temporada 5: O esconderijo de Orochimaru é descoberto","11/05/2021"
"Naruto Shippuden: Temporada 5: A determinação de um Shinobi","11/05/2021"
"Naruto Shippuden: Temporada 5: O preço do poder","11/05/2021"
"Naruto Shippuden: Temporada 4: Estilo vento: Rasen Shuriken!","11/05/2021"
